date,symbol,k_pred_ret,k_up_prob,k_pred_vol,turnover,pct_chg,amplitude,label_fwd_ret_5d
2018-10-26,300308,-0.09286315352828416,0.0,0.0809007249985373,1.8,-1.39,5.39,0.08676056338028171
2018-10-29,300308,-0.015078370000275084,0.6666666666666666,0.08393620057476783,1.58,1.69,4.28,0.08642659279778386
2018-10-30,300308,0.04545040253897233,0.6666666666666666,0.09381301057247708,3.55,-6.32,10.75,0.18450620934358364
2018-10-31,300308,-0.07577295827837398,0.3333333333333333,0.07195598079163787,2.45,-0.89,4.55,0.20346062052505975
2018-11-01,300308,0.002550618271080274,0.3333333333333333,0.046489844594978895,2.94,3.16,5.55,0.10641989589358003
2018-11-02,300308,0.03648255412372207,0.6666666666666666,0.03469087132989311,4.96,11.57,5.32,0.007257646448937338
2018-11-05,300308,0.05806139439565857,1.0,0.03769178488568156,6.69,1.66,8.19,0.0387557368689444
2018-11-06,300308,0.039106578784756575,0.6666666666666666,0.06202044519786289,3.27,2.14,5.76,0.0504243634548176
2018-11-07,300308,-0.007146222398173603,0.6666666666666666,0.07863096824656811,4.58,0.7,9.79,0.045116509667823435
2018-11-08,300308,0.06771526169607478,1.0,0.04137437393523123,3.9,-5.16,7.19,0.1270256142185049
2018-11-09,300308,0.0033388631355059095,0.6666666666666666,0.017578884280828776,3.61,1.57,6.53,0.14101904271744736
2018-11-12,300308,0.01153540108170755,1.0,0.008140893658634048,3.94,4.84,7.31,0.0805105547373588
2018-11-13,300308,0.02931812144675709,0.6666666666666666,0.03150304759079663,4.98,3.29,8.39,-0.0327946768060835
